ok,error,solar_mw,wind_mw,bess_power_mw,bess_duration_h,bess_energy_mwh,gas_mw,firmness_pct,total_served_mwh,unserved_mwh,total_natgas_mwh,co2_tons,merchant_revenue_usd,total_op_cost_usd_horizon,cost_unserved_usd,cost_gas_var_usd,cost_gas_no_load_usd,cost_gas_startup_usd,cost_bess_deg_usd,cost_carbon_usd,annualized_solar_usd,annualized_wind_usd,annualized_bess_power_usd,annualized_bess_energy_usd,annualized_gas_usd,fixed_om_total_usd_yr,annualized_total_usd_yr,opex_usd_yr,total_annual_cost_usd,lcoe_usd_per_mwh,horizon_hours
True,,20.0,0.0,10.0,2.0,20.0,0.0,16.02,3972.74,20827.2573,0.0,0.0,0.0,41654761.15,41654514.55,0.0,0.0,0.0,246.6,0.0,1611728.07,0.0,329383.87,439178.5,0.0,400000.0,2780290.44,490451219.99,493231510.43,10544.59,744.0
True,,20.0,0.0,10.0,2.0,20.0,10.0,38.19,9470.54,15329.4579,7440.0,2960.748,0.0,30660775.79,30658915.79,0.0,0.0,0.0,1860.0,0.0,1611728.07,0.0,329383.87,439178.5,686484.14,600000.0,3666774.58,361005908.5,364672683.08,3270.37,744.0
True,,20.0,0.0,10.0,2.0,20.0,25.0,68.19,16910.54,7889.4579,18600.0,7401.87,0.0,15780775.78,15778915.78,0.0,0.0,0.0,1860.0,0.0,1611728.07,0.0,329383.87,439178.5,1716210.34,900000.0,4996500.79,185805908.38,190802409.17,958.29,744.0
True,,20.0,0.0,10.0,4.0,40.0,0.0,16.02,3972.74,20827.2573,0.0,0.0,0.0,41654761.15,41654514.55,0.0,0.0,0.0,246.6,0.0,1611728.07,0.0,329383.87,878357.0,0.0,400000.0,3219468.94,490451219.99,493670688.93,10553.97,744.0
True,,20.0,0.0,10.0,4.0,40.0,10.0,40.69,10090.54,14709.4579,7440.0,2960.748,0.0,29422635.79,29418915.79,0.0,0.0,0.0,3720.0,0.0,1611728.07,0.0,329383.87,878357.0,686484.14,600000.0,4105953.08,346427808.5,350533761.58,2950.42,744.0
True,,20.0,0.0,10.0,4.0,40.0,25.0,70.69,17530.54,7269.4579,18600.0,7401.87,0.0,14542635.79,14538915.79,0.0,0.0,0.0,3720.0,0.0,1611728.07,0.0,329383.87,878357.0,1716210.34,900000.0,5435679.29,171227808.5,176663487.79,855.89,744.0
True,,20.0,0.0,20.0,2.0,40.0,0.0,16.02,3972.74,20827.2573,0.0,0.0,0.0,41654761.15,41654514.55,0.0,0.0,0.0,246.6,0.0,1611728.07,0.0,658767.75,878357.0,0.0,500000.0,3648852.82,490451219.99,494100072.81,10563.15,744.0
True,,20.0,0.0,20.0,2.0,40.0,10.0,40.69,10090.54,14709.4579,7440.0,2960.748,0.0,29422635.79,29418915.79,0.0,0.0,0.0,3720.0,0.0,1611728.07,0.0,658767.75,878357.0,686484.14,700000.0,4535336.95,346427808.5,350963145.45,2954.04,744.0
True,,20.0,0.0,20.0,2.0,40.0,25.0,70.69,17530.54,7269.4579,18600.0,7401.87,0.0,14542635.78,14538915.78,0.0,0.0,0.0,3720.0,0.0,1611728.07,0.0,658767.75,878357.0,1716210.34,1000000.0,5865063.16,171227808.38,177092871.54,857.97,744.0
True,,20.0,0.0,20.0,4.0,80.0,0.0,16.02,3972.74,20827.2573,0.0,0.0,0.0,41654761.15,41654514.55,0.0,0.0,0.0,246.6,0.0,1611728.07,0.0,658767.75,1756714.0,0.0,500000.0,4527209.81,490451219.99,494978429.8,10581.93,744.0
True,,20.0,0.0,20.0,4.0,80.0,10.0,44.58,11056.94,13743.0573,7440.0,2960.748,0.0,27492733.76,27486114.56,0.0,0.0,0.0,6619.2,0.0,1611728.07,0.0,658767.75,1756714.0,686484.14,700000.0,5413693.95,323704768.46,329118462.41,2528.05,744.0
True,,20.0,0.0,20.0,4.0,80.0,25.0,75.69,18770.54,6029.4579,18600.0,7401.87,0.0,12066355.77,12058915.77,0.0,0.0,0.0,7440.0,0.0,1611728.07,0.0,658767.75,1756714.0,1716210.34,1000000.0,6743420.16,142071608.26,148815028.42,673.35,744.0
True,,20.0,0.0,40.0,2.0,80.0,0.0,16.02,3972.74,20827.2573,0.0,0.0,0.0,41654761.15,41654514.55,0.0,0.0,0.0,246.6,0.0,1611728.07,0.0,1317535.5,1756714.0,0.0,700000.0,5385977.56,490451219.99,495837197.55,10600.29,744.0
True,,20.0,0.0,40.0,2.0,80.0,10.0,44.58,11056.94,13743.0573,7440.0,2960.748,0.0,27492733.75,27486114.55,0.0,0.0,0.0,6619.2,0.0,1611728.07,0.0,1317535.5,1756714.0,686484.14,900000.0,6272461.7,323704768.35,329977230.05,2534.65,744.0
True,,20.0,0.0,40.0,2.0,80.0,25.0,75.69,18770.54,6029.4579,18600.0,7401.87,0.0,12066355.77,12058915.77,0.0,0.0,0.0,7440.0,0.0,1611728.07,0.0,1317535.5,1756714.0,1716210.34,1200000.0,7602187.91,142071608.26,149673796.17,677.23,744.0
True,,20.0,0.0,40.0,4.0,160.0,0.0,16.02,3972.74,20827.2573,0.0,0.0,0.0,41654761.15,41654514.55,0.0,0.0,0.0,246.6,0.0,1611728.07,0.0,1317535.5,3513427.99,0.0,700000.0,7142691.56,490451219.99,497593911.55,10637.85,744.0
True,,20.0,0.0,40.0,4.0,160.0,10.0,44.58,11056.94,13743.0573,7440.0,2960.748,0.0,27492733.75,27486114.55,0.0,0.0,0.0,6619.2,0.0,1611728.07,0.0,1317535.5,3513427.99,686484.14,900000.0,8029175.69,323704768.35,331733944.04,2548.14,744.0
True,,20.0,0.0,40.0,4.0,160.0,25.0,85.67,21246.0,3553.9989,18600.0,7401.87,0.0,7122864.08,7107997.7,0.0,0.0,0.0,14866.38,0.0,1611728.07,0.0,1317535.5,3513427.99,1716210.34,1200000.0,9358901.9,83865980.3,93224882.2,372.67,744.0
True,,50.0,0.0,10.0,2.0,20.0,0.0,39.78,9865.03,14934.9706,0.0,0.0,0.0,29870357.31,29869941.29,0.0,0.0,0.0,416.02,0.0,4029320.18,0.0,329383.87,439178.5,0.0,850000.0,5647882.55,351699368.33,357347250.88,3076.53,744.0
True,,50.0,0.0,10.0,2.0,20.0,10.0,58.25,14446.28,10353.7204,7360.0,2928.912,0.0,20709795.85,20707440.84,0.0,0.0,0.0,2355.01,0.0,4029320.18,0.0,329383.87,439178.5,686484.14,1050000.0,6534366.69,243841144.69,250375511.38,1471.99,744.0
True,,50.0,0.0,10.0,2.0,20.0,25.0,79.41,19694.69,5105.3145,18400.0,7322.28,0.0,10213257.97,10210629.06,0.0,0.0,0.0,2628.91,0.0,4029320.18,0.0,329383.87,439178.5,1716210.34,1350000.0,7864092.89,120252876.1,128116968.99,552.49,744.0
True,,50.0,0.0,10.0,4.0,40.0,0.0,39.78,9865.03,14934.9706,0.0,0.0,0.0,29870357.31,29869941.29,0.0,0.0,0.0,416.02,0.0,4029320.18,0.0,329383.87,878357.0,0.0,850000.0,6087061.05,351699368.33,357786429.38,3080.31,744.0
True,,50.0,0.0,10.0,4.0,40.0,10.0,60.9,15104.26,9695.7371,7360.0,2928.912,0.0,19395803.1,19391474.14,0.0,0.0,0.0,4328.96,0.0,4029320.18,0.0,329383.87,878357.0,686484.14,1050000.0,6973545.19,228369939.73,235343484.92,1323.34,744.0
True,,50.0,0.0,10.0,4.0,40.0,25.0,82.14,20370.96,4429.0433,18400.0,7322.28,0.0,8862744.35,8858086.63,0.0,0.0,0.0,4657.72,0.0,4029320.18,0.0,329383.87,878357.0,1716210.34,1350000.0,8303271.39,104351667.35,112654938.74,469.69,744.0
True,,50.0,0.0,20.0,2.0,40.0,0.0,40.02,9923.95,14876.052,0.0,0.0,0.0,29752696.79,29752104.01,0.0,0.0,0.0,592.78,0.0,4029320.18,0.0,658767.75,878357.0,0.0,950000.0,6516444.92,350314010.59,356830455.51,3053.84,744.0
True,,50.0,0.0,20.0,2.0,40.0,10.0,61.06,15142.46,9657.5446,7400.0,2944.83,0.0,19319532.67,19315089.13,0.0,0.0,0.0,4443.54,0.0,4029320.18,0.0,658767.75,878357.0,686484.14,1150000.0,7402929.06,227471916.92,234874845.98,1317.37,744.0
True,,50.0,0.0,20.0,2.0,40.0,25.0,82.56,20473.99,4326.0098,18500.0,7362.075,0.0,8656986.52,8652019.7,0.0,0.0,0.0,4966.82,0.0,4029320.18,0.0,658767.75,878357.0,1716210.34,1450000.0,8732655.27,101929034.83,110661690.1,459.05,744.0
True,,50.0,0.0,20.0,4.0,80.0,0.0,40.02,9923.95,14876.052,0.0,0.0,0.0,29752696.79,29752104.01,0.0,0.0,0.0,592.78,0.0,4029320.18,0.0,658767.75,1756714.0,0.0,950000.0,7394801.92,350314010.59,357708812.51,3061.36,744.0
