Datetime,Load (MW),Wind (MW),Solar (MW),NatGas (MW),Market Price ($/MWh)
2015-05-01 00:00:00,0,141.59,0.0,0,16580.0
2015-05-01 01:00:00,0,137.14,0.0,0,16000.0
2015-05-01 02:00:00,0,128.22,0.0,0,16290.0
2015-05-01 03:00:00,0,110.16,0.0,0,17310.0
2015-05-01 04:00:00,0,84.07,0.0,0,17260.0
2015-05-01 05:00:00,0,63.61,0.0,0,22020.0
2015-05-01 06:00:00,0,39.08,28.831628627803752,0,30250.0
2015-05-01 07:00:00,0,11.81,93.6543691491992,0,29710.0
2015-05-01 08:00:00,0,11.2,100.0,0,31390.0
2015-05-01 09:00:00,0,19.81,100.0,0,30840.0
2015-05-01 10:00:00,0,10.58,100.0,0,33500.0
2015-05-01 11:00:00,0,4.52,100.0,0,33050.0
2015-05-01 12:00:00,0,1.8,100.0,0,33260.0
2015-05-01 13:00:00,0,0.86,100.0,0,31510.0
2015-05-01 14:00:00,0,0.6,100.0,0,30610.0
2015-05-01 15:00:00,0,0.3,87.43848661445573,0,29560.0
2015-05-01 16:00:00,0,0.55,98.84513610052463,0,30460.0
2015-05-01 17:00:00,0,3.99,71.43438427004705,0,32270.000000000004
2015-05-01 18:00:00,0,22.21,14.89578164000123,0,34960.0
2015-05-01 19:00:00,0,82.19,0.0,0,37570.0
2015-05-01 20:00:00,0,133.76,0.0,0,57430.0
2015-05-01 21:00:00,0,141.63,0.0,0,37370.0
2015-05-01 22:00:00,0,141.81,0.0,0,29080.0
2015-05-01 23:00:00,0,136.69,0.0,0,22750.0
2015-05-02 00:00:00,0,117.48,0.0,0,20000.0
2015-05-02 01:00:00,0,108.49,0.0,0,19340.0
2015-05-02 02:00:00,0,106.8,0.0,0,18870.0
2015-05-02 03:00:00,0,100.07,0.0,0,18580.0
2015-05-02 04:00:00,0,114.35,0.0,0,19560.0
2015-05-02 05:00:00,0,96.38,0.0,0,21630.0
2015-05-02 06:00:00,0,55.02,5.819526563977054,0,30090.0
2015-05-02 07:00:00,0,21.21,6.596005468265319,0,31320.0
2015-05-02 08:00:00,0,40.5,11.215045422009752,0,35250.0
2015-05-02 09:00:00,0,121.59,67.20159661365253,0,38040.0
2015-05-02 10:00:00,0,117.38,97.9346410319641,0,36800.0
2015-05-02 11:00:00,0,115.72,100.0,0,35730.0
2015-05-02 12:00:00,0,120.89,100.0,0,37550.0
2015-05-02 13:00:00,0,129.55,100.0,0,36200.0
2015-05-02 14:00:00,0,134.85,100.0,0,36160.0
2015-05-02 15:00:00,0,140.11,100.0,0,35040.0
2015-05-02 16:00:00,0,142.72,100.0,0,36420.0
2015-05-02 17:00:00,0,142.0,75.04141514229131,0,36710.0
